nid	module	name
105ee2cb	cellNetCtl	cellNetCtlTerm
10627248		f_fmodf
10697d7f	cellCamera	cellCameraGetBufferInfo
107bf3a1	cellGcmSys	cellGcmInitCursor
1096f8f1		ispunct_ascii
1098a99d		localeconv
10b81ed6	sys_net	sys_net_set_udpp2p_test_param
10c81457	cellSailRec	cellSailRecorderOpenStream
10cabeff	cellSysutil	cellWebBrowserGetUsrdataOnGameExit
10d0d7fc	cellHttp	cellHttpResponseGetStatusCode
10dae56d	cellNetCtl	cellGameUpdateTerm
10db5b1a	cellResc	cellRescSetDsts
10dc3f6c		_ZNSbIwSt11char_traitsIwESaIwEE6appendEjw
10ef39f6	cellVpost	cellVpostClose
11077159	libgem	cellGemReadExternalPortDeviceInfo
112a5ee9	cellSysmodule	cellSysmoduleUnloadModule
112ea8ea		strspn
1130ebe7	cellFontFT	FTFaceH_SetRenderEffectSlant
1139a206	cellSail	cellSailPlayerSetSoundAdapter
113a515f		_ZNKSt8messagesIcE7do_openERKSsRKSt6locale
113b0bea	sys_lv2dbg	sys_dbg_get_ppu_thread_ids
114e9178		_ZNSt11logic_errorD0Ev
115e2f70		spu_thread_snprintf
116a7da9	cellGifDec	cellGifDecClose
116cda13		wcstol
1171aa63	cell_FreeType2	FT_Angle_Diff
117cd726	cellPngEnc	cellPngEncClose
118712ea		islower
1197b52c	sceNpTrophy	sceNpTrophyRegisterContext
11bc3a6c	cellDmux	cellDmuxOpen2
11c51388		tgamma
11d270d2		exitspawn
11f071cb	cellSysutilAvc2	cellSysutilAvc2StopStreaming2
11f777b7	cellNetCtl	cellNetCtlGetInfoGameInt
12034412	sceNp2	sceNpMatching2GetClanLobbyId
121dec32	libmixer	cellSurMixerChStripGetAANPortNo
1221a1bf	sceNpClans	sceNpClansSearchByProfile
1225dd31		casinf
122d3db1	cellRtcAlarm	cellRtcAlarmRegister
122e0d0f	cellVideoUpload	cellVideoUploadInitialize
1249c1d1	cellHttp	cellHttpClientGetConnectionWaitTimeout
126656b7		_Btowc
128b334f		raw_spu_read_mem
128cd621		_ZNKSt5ctypeIwE10do_scan_isEsPKwS2_
129663d0	sceNp2	sceNpMatching2GetLobbyMemberDataInternal
129922a0	cellResc	cellRescResetFlipStatus
12a55fb7		mbrtowc
12b1acf0	cellFiber	cellFiberPpuRunFibers
12d0b0f9	sceNp2	sceNpMatching2ContextStart
12d9b6c5	cellJpgEnc	cellJpgEncQueryAttr
12de4e46		_powf4
12de5772		_ZNKSt9money_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEE6do_getES3_S3_bRSt8ios_baseRNSt5_IosbIiE8_IostateERSs
