ordinal	packet	same_as	selector_slot	provenance_kind	provenance_ref	witness	exception	arm_source
177	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_stub_tests.rs:spu_thread_group_terminate_logs_invariant_break_and_returns_enosys	none	crates/cellgov_lv2/src/host/dispatch_route/inline_arms.rs
178	none	none	none	non_public	none	crates/cellgov_lv2/src/host/tests/spu_tests.rs:a_finished_group_join_with_null_status_writes_cause_only_and_returns_efault	none	crates/cellgov_lv2/src/host/spu.rs
190	none	none	none	unestablished	none	crates/cellgov_explore/tests/lv2_mailbox_wake.rs:the_handler_sends_a_message_the_senders_own_step_never_names	none	crates/cellgov_lv2/src/host/spu.rs
324	none	341	none	firmware_reading	libsysmodule.sprx	crates/cellgov_lv2/src/host/dispatch_route/tests/route_memory_tests.rs:syscall_324_writes_fresh_cid_to_out_ptr	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/memory.rs
330	none	none	none	firmware_reading	liblv2.sprx	crates/cellgov_lv2/src/host/dispatch_route/tests/route_memory_tests.rs:syscall_330_writes_monotonic_256mib_aligned_address	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/memory.rs
332	none	none	none	firmware_reading	liblv2.sprx	crates/cellgov_lv2/src/host/dispatch_route/tests/route_memory_tests.rs:syscall_332_argument_refusals_outrank_a_null_mem_id	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/memory.rs
334	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_memory_tests.rs:syscall_332_then_334_records_pending_region_install	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/memory.rs
337	none	none	none	non_public	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_memory_tests.rs:syscall_332_then_337_searches_installs_and_writes_back_found_addr	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/memory.rs
339	none	none	none	firmware_reading	dev_flash/sys/external	crates/cellgov_lv2/src/host/dispatch_route/tests/route_mmapper_ext_tests.rs:the_size_and_flag_gates_fire_before_the_entry_table_is_read	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/memory.rs
341	none	324	none	firmware_reading	libsysmodule.sprx	crates/cellgov_lv2/src/host/tests/memory_tests.rs:memory_container_create_writes_monotonic_id	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/memory.rs
348	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/memory_tests.rs:memory_allocate_returns_aligned_sequential_addresses	none	crates/cellgov_lv2/src/host/memory.rs
349	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/memory_tests.rs:memory_free_is_noop_stub	fabricated_success	crates/cellgov_lv2/src/host/dispatch_route/inline_arms.rs
350	none	none	none	firmware_reading	libaudio.prx	crates/cellgov_lv2/src/host/tests/memory_container_tests.rs:an_unknown_container_id_is_esrch_after_the_argument_gates	none	crates/cellgov_lv2/src/host/memory.rs
352	none	none	none	non_public	none	crates/cellgov_lv2/src/host/tests/memory_tests.rs:user_memory_size_available_falls_with_allocation	none	crates/cellgov_lv2/src/host/dispatch_route/inline_arms.rs
362	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_memory_tests.rs:syscall_362_records_handle_keyed_on_mem_id	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/memory.rs
367	none	none	none	firmware_reading	vsh.self	crates/cellgov_lv2/src/host/uart/tests/uart_tests.rs:initialize_needs_root_and_claims_the_uart_once	none	crates/cellgov_lv2/src/host/uart/syscalls.rs
368	none	none	none	firmware_reading	vsh.self	crates/cellgov_lv2/src/host/uart/tests/uart_tests.rs:a_blocking_receive_parks_and_the_next_send_wakes_it_with_the_reply	none	crates/cellgov_lv2/src/host/uart/syscalls.rs
369	none	none	none	firmware_reading	vsh.self	crates/cellgov_lv2/src/host/uart/tests/uart_reader_queue_tests.rs:one_send_serves_two_parked_readers_in_park_order	none	crates/cellgov_lv2/src/host/uart/syscalls.rs
370	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/uart/tests/uart_tests.rs:get_params_reports_both_ring_sizes	none	crates/cellgov_lv2/src/host/uart/syscalls.rs
402	none	none	none	non_public	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_io_time_tests.rs:tty_read_returns_eio	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/misc.rs
403	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_io_time_tests.rs:tty_write_writes_nwritten_and_returns_ok	none	crates/cellgov_lv2/src/host/dispatch_route/helpers.rs
462	none	none	none	firmware_reading	liblv2.sprx	crates/cellgov_lv2/src/host/dispatch_route/tests/route_prx_tests.rs:syscall_462_returns_enosys	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/misc.rs
480	none	497	none	unestablished	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_prx_tests.rs:syscall_480_firmware_miss_registers_stub_and_start_reaches_sentinel	none	crates/cellgov_lv2/src/host/dispatch_route/helpers.rs
481	cmd	none	none	firmware_reading	liblv2.sprx	crates/cellgov_lv2/src/host/dispatch_route/tests/route_prx_tests.rs:prx_start_handshake_marks_started_and_blocks_unload	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/prx/lifecycle.rs
