ordinal	packet	name	source	ref	fw_from	fw_to
85	none	sys_event_flag_wait	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
85	none	sys_event_flag_wait	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_EVENT_FLAG_WAIT	none	none
86	none	sys_event_flag_trywait	cellgov	cellgov_ps3_abi::lv2::syscall::EVENT_FLAG_TRY_WAIT	none	none
86	none	sys_event_flag_trywait	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
86	none	sys_event_flag_trywait	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_EVENT_FLAG_TRYWAIT	none	none
87	none	sys_event_flag_set	cellgov	cellgov_ps3_abi::lv2::syscall::EVENT_FLAG_SET	none	none
87	none	sys_event_flag_set	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
87	none	sys_event_flag_set	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_EVENT_FLAG_SET	none	none
88	none	sys_interrupt_thread_eoi	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
88	none	sys_interrupt_thread_eoi	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_INTERRUPT_THREAD_EOI	none	none
89	none	sys_interrupt_thread_disestablish	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
89	none	sys_interrupt_thread_disestablish	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_INTERRUPT_THREAD_DISESTABLISH	none	none
90	none	sys_semaphore_create	cellgov	cellgov_ps3_abi::lv2::syscall::SEMAPHORE_CREATE	none	none
90	none	sys_semaphore_create	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
90	none	sys_semaphore_create	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_SEMAPHORE_CREATE	none	none
91	none	sys_semaphore_destroy	cellgov	cellgov_ps3_abi::lv2::syscall::SEMAPHORE_DESTROY	none	none
91	none	sys_semaphore_destroy	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
91	none	sys_semaphore_destroy	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_SEMAPHORE_DESTROY	none	none
92	none	sys_semaphore_wait	cellgov	cellgov_ps3_abi::lv2::syscall::SEMAPHORE_WAIT	none	none
92	none	sys_semaphore_wait	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
92	none	sys_semaphore_wait	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_SEMAPHORE_WAIT	none	none
